Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003, -0.094, -0.387, -0.304, -0.311, -0.191, -0.400, -0.267, -0.113, -0.108,  0.276, -1.582, -0.029
2004, -0.043,  0.113, -0.124, -0.298, -0.482, -0.428, -0.270, -0.385, -0.337, -0.370, -0.161, -0.376
2005, -0.064, -0.333, -0.181, -0.070,  0.050, -0.040, -0.030, -0.162,  0.010,  0.022,  0.063, -0.055
2006, -0.172,  0.319, -0.138, -0.268, -0.077, -0.054, -0.180, -0.212, -0.090, -0.043, -0.085,  0.036
2007,  0.290,  0.049, -0.067,  0.122, -0.180, -0.142, -0.096, -0.076, -0.182, -0.035, -0.076, -0.206
2008, -0.553, -0.360,  0.100, -0.272, -0.193, -0.283, -0.256, -0.283, -0.281, -0.135, -0.049, -0.113
2009, -0.083,  0.108, -0.245, -0.271, -0.287, -0.104, -0.069, -0.111,  0.016, -0.153, -0.111, -0.009
2010,  0.013,  0.131,  0.072,  0.122,  0.136,  0.044,  0.101,  0.105, -0.101, -0.066,  0.236, -0.091
2011, -0.150, -0.269, -0.142, -0.073, -0.062, -0.056, -0.022, -0.046, -0.122, -0.028, -0.384, -0.167
2012, -0.257, -0.305, -0.403, -0.009,  0.116,  0.090,  0.025, -0.040,  0.084,  0.029, -0.048, -0.314
2013, -0.005, -0.151, -0.028, -0.269, -0.050, -0.084, -0.182, -0.162, -0.165, -0.140,  0.045,  0.056
2014,  0.090, -0.144, -0.143,  0.109,  0.113,  0.035,  0.097,  0.179,  0.047,  0.064, -0.108,  0.161
2015,  0.147,  0.240,  0.171,  0.023,  0.134,  0.136,  0.116,  0.139,  0.268,  0.315,  0.178,  0.397
2016,  0.507,  0.701,  0.684,  0.517,  0.274,  0.366,  0.286,  0.294,  0.436,  0.149,  0.316,  0.286
2017,  0.423,  0.466,  0.498,  0.190,  0.126,  0.137,  0.211,  0.232,  0.197,  0.045,  0.110,  0.394
2018,  0.210,  0.301,  0.097,  0.021,  0.052,  0.034,  0.063, -0.017,  0.050,  0.333, -0.084,  0.103
2019,  0.248,  0.310,  0.536,  0.323,  0.271,  0.430,  0.363,  0.269,  0.463,  0.454,  0.282,  0.445
2020,  0.397,  0.563,  0.505,  0.364,  0.374,  0.384,  0.357,  0.566,  0.295,  0.356,  0.494,  0.281
2021,  0.395,  0.381,  0.181,  0.197,  0.245,  0.348,  0.258,  0.179,  0.097,  0.037,  0.001, -0.023
2022,  0.111,  0.072,  0.153,  0.324, -0.090,  0.070, -0.019,  0.097,  0.080,  0.648, -0.715, -0.025
2023,  0.155,  0.096,  0.383, -0.121,  0.042,  0.132,  0.366,  0.449,  0.538,  0.579,  0.458,  0.526
